harga,jumlah_kamar_tidur,jumlah_kamar_mandi,jumlah_garasi,luas_tanah,luas_bangunan
350000000,2,1,1,115 m²,36 m²
2970000000,5,2,1,143 m²,232 m²
1600000000,12,12,1,425 m²,200 m²
3800000000,5,3,1,472 m²,130 m²
2900000000,0,0,0,365 m²,250 m²
2250000000,4,2,2,138 m²,151 m²
4250000000,3,3,6,425 m²,150 m²
2540000000,4,4,2,175 m²,130 m²
950000000,3,4,1,135 m²,180 m²
2300000000,3,3,2,204 m²,178 m²
525000000,2,1,1,126 m²,36 m²
499000000,2,1,1,141 m²,56 m²
1500000000,4,2,1,218 m²,150 m²
2110000000,3,2,1,110 m²,107 m²
3870000000,3,3,2,204 m²,142 m²
3230000000,3,3,2,153 m²,135 m²
1250000000,2,1,1,135 m²,45 m²
575000000,3,2,1,129 m²,80 m²
900000000,3,2,2,153 m²,100 m²
1900000000,5,4,2,158 m²,120 m²
1600000000,12,12,1,425 m²,200 m²
1380000000,3,2,1,107 m²,100 m²
1600000000,4,4,1,131 m²,200 m²
1900000000,5,6,2,166 m²,150 m²
7500000000,17,17,4,453 m²,411 m²
13000000000,3,1,0,838 m²,400 m²
3000000000,3,3,3,229 m²,180 m²
1100000000,3,2,1,187 m²,150 m²
270000000,2,1,1,61 m²,30 m²
4200000000,4,4,8,564 m²,190 m²
1700000000,3,2,1,118 m²,70 m²
550000000,6,3,2,94 m²,94 m²
1950000000,4,3,1,630 m²,350 m²
1100000000,2,1,1,110 m²,70 m²
2600000000,4,4,4,1112 m²,400 m²
25000000000,9,9,0,429 m²,1000 m²
1200000000,5,6,1,499 m²,200 m²
1420000000,5,4,1,144 m²,250 m²
575000000,3,2,1,100 m²,80 m²
730000000,3,2,1,100 m²,80 m²
590000000,2,1,1,98 m²,45 m²
3600000000,7,2,5,285 m²,160 m²
1350000000,4,3,1,115 m²,190 m²
4250000000,3,3,6,425 m²,150 m²
725000000,3,2,1,87 m²,70 m²
2150000000,4,3,1,111 m²,180 m²
1800000000,4,4,1,128 m²,200 m²
895000000,3,1,1,157 m²,69 m²
1100000000,3,2,1,213 m²,80 m²
725000000,3,2,1,96 m²,54 m²
2500000000,4,3,1,215 m²,200 m²
1600000000,3,3,1,156 m²,140 m²
1450000000,3,3,1,110 m²,129 m²
650000000,3,2,1,101 m²,80 m²
1600000000,3,3,1,122 m²,200 m²
2110000000,4,3,2,192 m²,135 m²
745000000,2,2,1,98 m²,70 m²
357000000,2,1,1,99 m²,36 m²
2140000000,4,3,2,196 m²,135 m²
1600000000,4,3,1,169 m²,125 m²
1900000000,3,3,0,128 m²,188 m²
1820000000,3,2,1,140 m²,158 m²
756000000,3,1,1,108 m²,60 m²
2200000000,4,2,1,406 m²,340 m²
2110000000,3,2,1,110 m²,107 m²
3870000000,3,3,2,204 m²,142 m²
3230000000,3,3,2,153 m²,135 m²
1800000000,3,3,2,128 m²,110 m²
1850000000,2,2,1,683 m²,500 m²
875000000,8,2,1,100 m²,200 m²
2040000000,4,3,2,182 m²,135 m²
1500000000,4,3,1,156 m²,120 m²
1400000000,3,2,1,174 m²,150 m²
6800000000,21,21,4,250 m²,650 m²
2080000000,4,3,2,186 m²,135 m²
5000000000,5,3,1,219 m²,241 m²
1600000000,4,2,1,127 m²,150 m²
3000000000,6,5,1,225 m²,400 m²
2300000000,4,4,0,140 m²,200 m²
755000000,2,1,1,101 m²,60 m²
2000000000,5,2,3,393 m²,220 m²
1800000000,10,4,4,123 m²,240 m²
25000000000,9,9,3,429 m²,1000 m²
2800000000,10,10,2,137 m²,100 m²
950000000,4,4,2,90 m²,62 m²
3100000000,7,4,0,225 m²,300 m²
1450000000,3,2,1,110 m²,140 m²
790000000,3,2,2,78 m²,60 m²
598000000,2,1,1,90 m²,40 m²
2200000000,6,4,5,976 m²,250 m²
675000000,2,1,1,85 m²,45 m²
990000000,2,2,1,109 m²,75 m²
950000000,5,5,2,110 m²,170 m²
690000000,3,2,0,77 m²,60 m²
808000000,3,2,2,79 m²,70 m²
800000000,3,2,1,140 m²,80 m²
3100000000,5,3,1,146 m²,290 m²
598000000,2,1,1,90 m²,40 m²
1700000000,3,2,0,135 m²,95 m²
205000000,1,1,1,60 m²,23 m²
675000000,2,1,1,85 m²,45 m²
495000000,3,1,1,141 m²,60 m²
475000000,3,2,1,101 m²,70 m²
500000000,2,1,1,97 m²,55 m²
299000000,2,1,1,88 m²,36 m²
585000000,3,1,1,111 m²,55 m²
250000000,2,1,1,88 m²,36 m²
1000000000,7,3,1,112 m²,224 m²
585000000,3,1,1,111 m²,55 m²
590000000,2,1,1,85 m²,55 m²
775000000,3,2,2,113 m²,85 m²
1250000000,7,3,0,329 m²,280 m²
775000000,3,2,2,113 m²,85 m²
2320000000,4,3,2,213 m²,135 m²
4250000000,3,3,6,425 m²,150 m²
790000000,3,2,1,75 m²,70 m²
1400000000,3,2,4,205 m²,80 m²
800000000,4,2,1,107 m²,165 m²
950000000,3,2,1,150 m²,90 m²
750000000,3,2,2,81 m²,70 m²
2340000000,4,3,1,184 m²,135 m²
1700000000,3,2,1,118 m²,140 m²
2400000000,4,3,1,403 m²,220 m²
1100000000,3,2,1,187 m²,150 m²
750000000,3,2,2,81 m²,70 m²
950000000,4,4,1,90 m²,62 m²
1700000000,3,2,1,118 m²,140 m²
1300000000,6,5,1,489 m²,200 m²
405000000,2,2,1,125 m²,95 m²
950000000,2,2,1,109 m²,75 m²
800000000,4,2,1,107 m²,165 m²
598000000,2,1,1,90 m²,40 m²
950000000,2,2,1,109 m²,75 m²
1400000000,3,2,4,205 m²,80 m²
695000000,2,2,1,100 m²,65 m²
420000000,3,1,0,123 m²,120 m²
1290000000,4,3,1,99 m²,105 m²
350000000,2,1,1,80 m²,45 m²
250000000,2,1,1,97 m²,36 m²
270000000,1,1,0,71 m²,36 m²
800000000,3,1,1,75 m²,70 m²
695000000,2,2,1,100 m²,65 m²
240000000,2,1,1,45 m²,62 m²
1290000000,4,3,1,99 m²,105 m²
270000000,1,1,0,71 m²,36 m²
600000000,3,1,1,100 m²,70 m²
7700000000,4,3,2,289 m²,600 m²
695000000,2,2,1,100 m²,65 m²
20000000000,47,47,15,2085 m²,2295 m²
2800000000,5,4,1,429 m²,225 m²
790000000,3,2,1,113 m²,70 m²
295000000,2,1,1,125 m²,36 m²
475000000,2,1,1,75 m²,55 m²
780000000,3,2,1,115 m²,60 m²
1950000000,3,2,0,168 m²,110 m²
465000000,2,1,1,132 m²,53 m²
800000000,3,2,1,107 m²,100 m²
4700000000,4,3,1,334 m²,250 m²
750000000,3,2,1,130 m²,60 m²
2000000000,10,10,3,205 m²,200 m²
756000000,2,1,2,95 m²,57 m²
400000000,2,1,1,90 m²,50 m²
1850000000,3,2,2,116 m²,110 m²
835000000,3,2,1,102 m²,65 m²
961000000,3,3,2,107 m²,80 m²
875000000,3,2,1,107 m²,70 m²
2790000000,3,3,1,123 m²,160 m²
1700000000,4,3,2,200 m²,190 m²
1780000000,3,3,1,160 m²,210 m²
1550000000,3,2,1,126 m²,90 m²
2700000000,3,4,2,110 m²,160 m²
1300000000,3,2,1,135 m²,120 m²
1200000000,3,2,2,124 m²,100 m²
350000000,2,2,1,67 m²,67 m²
155000000,2,1,1,88 m²,36 m²
850000000,3,1,1,87 m²,70 m²
1900000000,4,3,0,130 m²,130 m²
999000000,3,3,2,103 m²,100 m²
4500000000,5,4,2,365 m²,390 m²
775000000,3,2,2,145 m²,80 m²
550000000,2,1,1,108 m²,50 m²
595000000,2,1,1,82 m²,65 m²
675000000,3,2,1,99 m²,75 m²
897000000,3,2,1,107 m²,91 m²
640000000,2,1,1,91 m²,50 m²
1100000000,4,2,1,154 m²,160 m²
4500000000,4,4,3,200 m²,170 m²
1470000000,4,3,2,178 m²,131 m²
4750000000,4,4,1,309 m²,190 m²
1950000000,3,2,1,168 m²,130 m²
1290000000,4,2,0,207 m²,160 m²
1490000000,5,4,2,126 m²,170 m²
2500000000,3,3,0,352 m²,168 m²
2500000000,3,3,0,352 m²,168 m²
4900000000,6,4,2,545 m²,340 m²
350000000,2,2,1,67 m²,67 m²
550000000,2,1,1,108 m²,50 m²
1700000000,3,2,1,118 m²,70 m²
1100000000,2,2,1,112 m²,85 m²
3500000000,13,13,3,215 m²,260 m²
1000000000,3,2,1,128 m²,90 m²
515000000,2,1,1,95 m²,45 m²
2750000000,4,5,3,150 m²,190 m²
3490000000,5,4,2,426 m²,400 m²
730000000,3,2,0,100 m²,80 m²
850000000,8,6,3,139 m²,125 m²
1750000000,4,2,1,128 m²,97 m²
1300000000,4,3,1,96 m²,180 m²
775000000,2,1,1,136 m²,100 m²
3000000000,11,7,1,242 m²,400 m²
4500000000,2,3,4,348 m²,430 m²
675000000,2,1,1,128 m²,100 m²
1350000000,4,3,1,204 m²,170 m²
1970000000,5,6,3,160 m²,180 m²
850000000,3,3,1,98 m²,99 m²
350000000,3,2,1,54 m²,80 m²
1300000000,5,3,1,125 m²,150 m²
1250000000,3,2,1,105 m²,160 m²
