harga,jumlah_kamar_tidur,jumlah_kamar_mandi,jumlah_garasi,luas_tanah,luas_bangunan
"Rp 2,95 Miliar",4.0,3.0,0.0,213 m²,185 m²
Rp 895 Juta,3.0,2.0,2.0,91 m²,76 m²
"Rp 2,5 Miliar",3.0,3.0,0.0,352 m²,168 m²
"Rp 1,2 Miliar",3.0,2.0,1.0,115 m²,100 m²
"Rp 1,27 Miliar",3.0,2.0,1.0,130 m²,100 m²
Rp 675 Juta,2.0,1.0,1.0,85 m²,45 m²
Rp 817 Juta,2.0,2.0,1.0,103 m²,76 m²
"Rp 4,5 Miliar",20.0,15.0,3.0,235 m²,370 m²
Rp 817 Juta,2.0,2.0,1.0,103 m²,76 m²
Rp 470 Juta,3.0,3.0,0.0,147 m²,70 m²
Rp 765 Juta,2.0,1.0,1.0,101 m²,60 m²
Rp 675 Juta,2.0,1.0,1.0,84 m²,50 m²
"Rp 2,2 Miliar",4.0,4.0,2.0,150 m²,235 m²
Rp 725 Juta,3.0,2.0,1.0,100 m²,70 m²
Rp 800 Juta,3.0,2.0,1.0,120 m²,80 m²
Rp 884 Juta,4.0,2.0,2.0,104 m²,60 m²
"Rp 3,4 Miliar",4.0,3.0,0.0,421 m²,200 m²
"Rp 1,25 Miliar",2.0,2.0,2.0,125 m²,150 m²
Rp 500 Juta,2.0,2.0,1.0,80 m²,55 m²
Rp 500 Juta,3.0,2.0,1.0,108 m²,70 m²
"Rp 3,9 Miliar",14.0,14.0,3.0,502 m²,473 m²
Rp 690 Juta,2.0,1.0,1.0,87 m²,45 m²
Rp 875 Juta,3.0,2.0,2.0,112 m²,95 m²
Rp 756 Juta,3.0,1.0,2.0,104 m²,60 m²
"Rp 4,5 Miliar",5.0,2.0,7.0,503 m²,300 m²
"Rp 1,3 Miliar",5.0,6.0,1.0,320 m²,142 m²
Rp 850 Juta,3.0,2.0,2.0,80 m²,85 m²
"Rp 6,5 Miliar",9.0,6.0,0.0,2367 m²,1000 m²
"Rp 1,29 Miliar",4.0,3.0,1.0,99 m²,105 m²
"Rp 2,7 Miliar",3.0,2.0,2.0,267 m²,180 m²
"Rp 6,5 Miliar",5.0,4.0,1.0,778 m²,500 m²
"Rp 1,78 Miliar",4.0,3.0,2.0,118 m²,160 m²
"Rp 1,25 Miliar",3.0,3.0,1.0,105 m²,160 m²
Rp 575 Juta,2.0,1.0,1.0,108 m²,80 m²
"Rp 8,9 Miliar",17.0,17.0,7.0,550 m²,435 m²
Rp 775 Juta,2.0,2.0,0.0,118 m²,100 m²
Rp 575 Juta,3.0,2.0,1.0,101 m²,80 m²
Rp 785 Juta,3.0,2.0,1.0,115 m²,60 m²
"Rp 2,45 Miliar",8.0,5.0,2.0,150 m²,200 m²
Rp 6 Miliar,34.0,8.0,0.0,1145 m²,607 m²
"Rp 1,85 Miliar",4.0,3.0,1.0,147 m²,120 m²
"Rp 8,5 Miliar",17.0,15.0,0.0,389 m²,554 m²
Rp 900 Juta,3.0,3.0,1.0,98 m²,100 m²
"Rp 3,5 Miliar",14.0,5.0,0.0,203 m²,250 m²
Rp 750 Juta,3.0,2.0,2.0,130 m²,60 m²
"Rp 2,2 Miliar",5.0,6.0,3.0,495 m²,300 m²
"Rp 2,8 Miliar",7.0,3.0,2.0,140 m²,195 m²
"Rp 4,5 Miliar",3.0,2.0,0.0,668 m²,250 m²
"Rp 2,8 Miliar",4.0,4.0,2.0,154 m²,230 m²
"Rp 1,5 Miliar",2.0,1.0,1.0,120 m²,90 m²
Rp 275 Juta,2.0,1.0,1.0,70 m²,36 m²
"Rp 1,7 Miliar",6.0,5.0,0.0,162 m²,170 m²
Rp 25 Miliar,9.0,9.0,3.0,429 m²,1000 m²
Rp 6 Miliar,6.0,6.0,1.0,688 m²,384 m²
"Rp 5,2 Miliar",12.0,12.0,3.0,525 m²,500 m²
Rp 305 Juta,2.0,1.0,0.0,66 m²,45 m²
Rp 310 Juta,2.0,1.0,0.0,72 m²,45 m²
Rp 310 Juta,2.0,1.0,0.0,72 m²,45 m²
Rp 315 Juta,2.0,1.0,0.0,45 m²,75 m²
Rp 312 Juta,2.0,1.0,0.0,45 m²,72 m²
"Rp 3,1 Miliar",7.0,4.0,2.0,225 m²,300 m²
Rp 375 Juta,2.0,1.0,1.0,82 m²,46 m²
"Rp 2,1 Miliar",3.0,3.0,1.0,139 m²,100 m²
Rp 2 Miliar,4.0,2.0,2.0,105 m²,140 m²
Rp 645 Juta,3.0,1.0,2.0,93 m²,60 m²
"Rp 4,2 Miliar",4.0,4.0,8.0,564 m²,190 m²
"Rp 1,28 Miliar",3.0,3.0,2.0,134 m²,85 m²
Rp 270 Juta,2.0,1.0,1.0,61 m²,30 m²
"Rp 3,1 Miliar",7.0,4.0,2.0,225 m²,300 m²
"Rp 1,78 Miliar",3.0,3.0,2.0,119 m²,114 m²
Rp 598 Juta,2.0,1.0,1.0,90 m²,40 m²
Rp 645 Juta,3.0,1.0,1.0,93 m²,60 m²
"Rp 4,2 Miliar",4.0,4.0,8.0,564 m²,190 m²
Rp 25 Miliar,9.0,9.0,3.0,429 m²,1000 m²
"Rp 1,82 Miliar",3.0,2.0,1.0,140 m²,158 m²
"Rp 2,9 Miliar",2.0,3.0,2.0,380 m²,200 m²
Rp 499 Juta,2.0,1.0,1.0,120 m²,36 m²
"Rp 4,25 Miliar",3.0,3.0,6.0,425 m²,150 m²
Rp 592 Juta,2.0,1.0,1.0,91 m²,50 m²
Rp 985 Juta,2.0,2.0,1.0,125 m²,132 m²
Rp 890 Juta,3.0,2.0,1.0,85 m²,70 m²
Rp 5 Miliar,8.0,7.0,6.0,1031 m²,500 m²
"Rp 4,75 Miliar",5.0,5.0,0.0,419 m²,252 m²
"Rp 1,25 Miliar",2.0,1.0,1.0,130 m²,70 m²
Rp 790 Juta,3.0,2.0,1.0,75 m²,70 m²
"Rp 4,2 Miliar",5.0,4.0,2.0,230 m²,208 m²
Rp 250 Juta,2.0,1.0,0.0,76 m²,36 m²
Rp 600 Juta,3.0,1.0,1.0,167 m²,130 m²
"Rp 6,9 Miliar",5.0,3.0,3.0,843 m²,450 m²
"Rp 3,8 Miliar",3.0,3.0,1.0,199 m²,206 m²
Rp 407 Juta,2.0,1.0,0.0,80 m²,45 m²
Rp 297 Juta,2.0,1.0,1.0,75 m²,45 m²
Rp 400 Juta,2.0,1.0,1.0,90 m²,50 m²
"Rp 1,45 Miliar",3.0,3.0,1.0,110 m²,129 m²
"Rp 1,94 Miliar",3.0,3.0,0.0,150 m²,110 m²
Rp 400 Juta,2.0,1.0,1.0,90 m²,50 m²
Rp 580 Juta,3.0,2.0,1.0,101 m²,70 m²
Rp 850 Juta,3.0,2.0,1.0,102 m²,65 m²
Rp 850 Juta,3.0,2.0,1.0,102 m²,65 m²
Rp 850 Juta,4.0,3.0,0.0,126 m²,126 m²
Rp 350 Juta,2.0,1.0,0.0,105 m²,70 m²
"Rp 2,12 Miliar",4.0,4.0,2.0,120 m²,150 m²
"Rp 2,12 Miliar",4.0,4.0,2.0,120 m²,150 m²
Rp 808 Juta,3.0,2.0,2.0,85 m²,45 m²
Rp 690 Juta,3.0,2.0,2.0,78 m²,60 m²
Rp 675 Juta,2.0,1.0,1.0,85 m²,45 m²
"Rp 1,25 Miliar",10.0,4.0,1.0,128 m²,200 m²
Rp 870 Juta,3.0,2.0,1.0,135 m²,80 m²
"Rp 2,6 Miliar",4.0,3.0,2.0,150 m²,190 m²
Rp 300 Juta,2.0,1.0,0.0,74 m²,42 m²
"Rp 2,3 Miliar",8.0,9.0,2.0,98 m²,120 m²
"Rp 1,6 Miliar",4.0,2.0,0.0,125 m²,125 m²
"Rp 2,5 Miliar",3.0,3.0,0.0,352 m²,168 m²
"Rp 1,6 Miliar",4.0,3.0,0.0,193 m²,193 m²
"Rp 6,5 Miliar",5.0,5.0,0.0,455 m²,650 m²
"Rp 1,75 Miliar",4.0,4.0,0.0,187 m²,335 m²
"Rp 3,5 Miliar",4.0,3.0,0.0,728 m²,426 m²
"Rp 3,5 Miliar",4.0,3.0,0.0,728 m²,426 m²
Rp 299 Juta,2.0,1.0,1.0,74 m²,74 m²
Rp 3 Miliar,4.0,2.0,0.0,262 m²,252 m²
Rp 385 Juta,3.0,2.0,1.0,63 m²,80 m²
Rp 900 Juta,3.0,2.0,1.0,133 m²,80 m²
"Rp 1,3 Miliar",3.0,3.0,1.0,135 m²,85 m²
Rp 280 Juta,2.0,1.0,1.0,88 m²,36 m²
"Rp 1,6 Miliar",0.0,0.0,0.0,530 m²,300 m²
Rp 250 Juta,2.0,1.0,1.0,88 m²,36 m²
Rp 42 Miliar,5.0,4.0,0.0,1769 m²,702 m²
"Rp 1,75 Miliar",3.0,2.0,1.0,131 m²,160 m²
"Rp 4,6 Miliar",5.0,3.0,3.0,443 m²,177 m²
Rp 900 Juta,2.0,2.0,1.0,108 m²,60 m²
Rp 595 Juta,3.0,1.0,1.0,93 m²,60 m²
Rp 852 Juta,4.0,2.0,1.0,142 m²,200 m²
Rp 700 Juta,3.0,2.0,1.0,106 m²,70 m²
"Rp 2,3 Miliar",8.0,8.0,2.0,98 m²,120 m²
"Rp 1,29 Miliar",4.0,3.0,2.0,99 m²,105 m²
Rp 375 Juta,2.0,1.0,1.0,72 m²,72 m²
"Rp 1,47 Miliar",4.0,4.0,2.0,178 m²,131 m²
Rp 462 Juta,1.0,1.0,0.0,201 m²,100 m²
"Rp 1,56 Miliar",1.0,1.0,0.0,209 m²,100 m²
Rp 550 Juta,3.0,2.0,0.0,82 m²,100 m²
"Rp 2,5 Miliar",3.0,2.0,1.0,123 m²,150 m²
Rp 495 Juta,3.0,1.0,1.0,141 m²,60 m²
Rp 475 Juta,2.0,1.0,0.0,90 m²,50 m²
"Rp 5,5 Miliar",4.0,4.0,2.0,287 m²,200 m²
Rp 700 Juta,2.0,2.0,1.0,100 m²,90 m²
Rp 250 Juta,2.0,1.0,1.0,88 m²,36 m²
Rp 580 Juta,3.0,2.0,1.0,100 m²,80 m²
Rp 765 Juta,3.0,2.0,1.0,118 m²,75 m²
"Rp 1,88 Miliar",3.0,2.0,2.0,150 m²,110 m²
Rp 500 Juta,3.0,1.0,0.0,97 m²,55 m²
Rp 278 Juta,2.0,1.0,2.0,72 m²,36 m²
Rp 495 Juta,2.0,1.0,1.0,107 m²,36 m²
Rp 495 Juta,2.0,1.0,1.0,107 m²,36 m²
Rp 278 Juta,2.0,1.0,2.0,72 m²,36 m²
Rp 900 Juta,4.0,2.0,1.0,140 m²,140 m²
"Rp 1,95 Miliar",3.0,2.0,2.0,168 m²,130 m²
Rp 897 Juta,3.0,2.0,1.0,107 m²,91 m²
Rp 730 Juta,3.0,2.0,2.0,100 m²,80 m²
Rp 513 Juta,2.0,1.0,1.0,79 m²,76 m²
"Rp 1,98 Miliar",3.0,3.0,0.0,150 m²,110 m²
Rp 990 Juta,3.0,3.0,1.0,103 m²,100 m²
Rp 278 Juta,2.0,1.0,2.0,71 m²,36 m²
Rp 600 Juta,1.0,1.0,1.0,225 m²,225 m²
Rp 695 Juta,0.0,0.0,0.0,94 m²,64 m²
Rp 900 Juta,2.0,2.0,1.0,133 m²,80 m²
"Rp 2,36 Miliar",4.0,3.0,1.0,182 m²,135 m²
Rp 850 Juta,2.0,2.0,1.0,106 m²,62 m²
Rp 600 Juta,3.0,2.0,1.0,123 m²,105 m²
"Rp 2,6 Miliar",5.0,4.0,2.0,150 m²,150 m²
"Rp 1,7 Miliar",4.0,3.0,2.0,110 m²,114 m²
"Rp 1,97 Miliar",4.0,3.0,3.0,135 m²,165 m²
"Rp 1,75 Miliar",8.0,4.0,2.0,176 m²,340 m²
"Rp 1,2 Miliar",7.0,3.0,1.0,157 m²,120 m²
Rp 970 Juta,4.0,2.0,1.0,176 m²,90 m²
"Rp 8,9 Miliar",5.0,5.0,4.0,1280 m²,820 m²
"Rp 5,9 Miliar",4.0,4.0,4.0,1192 m²,620 m²
"Rp 1,6 Miliar",5.0,5.0,0.0,131 m²,200 m²
Rp 5 Miliar,9.0,6.0,0.0,438 m²,180 m²
Rp 14 Miliar,13.0,13.0,6.0,1200 m²,350 m²
Rp 675 Juta,3.0,2.0,1.0,125 m²,65 m²
Rp 675 Juta,3.0,2.0,1.0,125 m²,65 m²
Rp 795 Juta,3.0,2.0,1.0,98 m²,85 m²
Rp 580 Juta,3.0,2.0,1.0,100 m²,80 m²
Rp 580 Juta,3.0,2.0,1.0,100 m²,80 m²
"Rp 2,35 Miliar",10.0,10.0,4.0,103 m²,255 m²
"Rp 2,2 Miliar",4.0,2.0,2.0,250 m²,180 m²
Rp 549 Juta,2.0,1.0,1.0,90 m²,45 m²
Rp 549 Juta,2.0,1.0,1.0,90 m²,45 m²
Rp 585 Juta,3.0,2.0,1.0,100 m²,58 m²
Rp 585 Juta,3.0,2.0,1.0,100 m²,58 m²
Rp 8 Miliar,11.0,6.0,4.0,618 m²,388 m²
Rp 500 Juta,2.0,2.0,1.0,120 m²,45 m²
Rp 500 Juta,2.0,2.0,1.0,120 m²,45 m²
"Rp 1,1 Miliar",4.0,2.0,1.0,115 m²,205 m²
Rp 720 Juta,3.0,2.0,1.0,87 m²,80 m²
Rp 720 Juta,3.0,2.0,1.0,87 m²,80 m²
"Rp 2,3 Miliar",4.0,3.0,2.0,160 m²,150 m²
Rp 399 Juta,2.0,2.0,1.0,100 m²,50 m²
"Rp 1,35 Miliar",3.0,2.0,1.0,105 m²,120 m²
"Rp 1,5 Miliar",0.0,0.0,0.0,976 m²,250 m²
"Rp 1,3 Miliar",3.0,2.0,2.0,161 m²,120 m²
Rp 875 Juta,3.0,2.0,1.0,85 m²,125 m²
Rp 235 Juta,2.0,1.0,1.0,73 m²,30 m²
Rp 799 Juta,3.0,1.0,1.0,119 m²,80 m²
"Rp 2,2 Miliar",11.0,11.0,0.0,133 m²,182 m²
Rp 1 Miliar,5.0,3.0,2.0,180 m²,120 m²
Rp 950 Juta,3.0,1.0,0.0,108 m²,100 m²
Rp 998 Juta,3.0,3.0,1.0,103 m²,100 m²
Rp 8 Miliar,7.0,4.0,6.0,1300 m²,1000 m²
"Rp 1,3 Miliar",5.0,2.0,2.0,112 m²,200 m²
"Rp 1,3 Miliar",5.0,4.0,2.0,150 m²,200 m²
"Rp 2,43 Miliar",4.0,3.0,1.0,192 m²,135 m²
Rp 302 Juta,3.0,2.0,1.0,121 m²,60 m²
Rp 480 Juta,3.0,1.0,1.0,98 m²,50 m²
Rp 1 Miliar,7.0,5.0,1.0,110 m²,110 m²
"Rp 1,5 Miliar",3.0,4.0,2.0,151 m²,161 m²
"Rp 2,65 Miliar",4.0,3.0,1.0,213 m²,135 m²
"Rp 2,95 Miliar",15.0,15.0,2.0,200 m²,400 m²
Rp 155 Juta,2.0,1.0,1.0,88 m²,36 m²
"Rp 2,1 Miliar",3.0,2.0,1.0,223 m²,200 m²
"Rp 2,49 Miliar",4.0,3.0,1.0,200 m²,135 m²
Rp 591 Juta,2.0,1.0,1.0,84 m²,40 m²
"Rp 1,35 Miliar",5.0,3.0,0.0,156 m²,156 m²
Rp 650 Juta,5.0,2.0,1.0,161 m²,130 m²
Rp 571 Juta,2.0,1.0,1.0,79 m²,40 m²
"Rp 1,38 Miliar",3.0,2.0,1.0,103 m²,100 m²
Rp 325 Juta,2.0,1.0,1.0,70 m²,36 m²
Rp 337 Juta,2.0,1.0,1.0,74 m²,36 m²
Rp 331 Juta,2.0,1.0,1.0,72 m²,36 m²
"Rp 2,88 Miliar",11.0,11.0,1.0,207 m²,208 m²
Rp 725 Juta,4.0,2.0,1.0,130 m²,100 m²
"Rp 1,35 Miliar",3.0,2.0,1.0,100 m²,103 m²
Rp 520 Juta,2.0,1.0,1.0,90 m²,50 m²
"Rp 7,25 Miliar",23.0,11.0,3.0,500 m²,550 m²
"Rp 2,4 Miliar",4.0,3.0,1.0,187 m²,135 m²
Rp 950 Juta,3.0,2.0,1.0,175 m²,120 m²
"Rp 1,48 Miliar",3.0,2.0,1.0,125 m²,100 m²
"Rp 2,2 Miliar",10.0,10.0,2.0,122 m²,190 m²
"Rp 2,43 Miliar",4.0,3.0,1.0,192 m²,135 m²
"Rp 2,46 Miliar",4.0,3.0,1.0,196 m²,135 m²
"Rp 2,36 Miliar",4.0,3.0,1.0,182 m²,135 m²
"Rp 2,4 Miliar",4.0,3.0,1.0,187 m²,135 m²
"Rp 2,65 Miliar",4.0,3.0,1.0,213 m²,135 m²
"Rp 1,95 Miliar",4.0,3.0,1.0,630 m²,350 m²
"Rp 2,55 Miliar",4.0,4.0,0.0,175 m²,130 m²
"Rp 7,9 Miliar",6.0,6.0,0.0,816 m²,350 m²
Rp 700 Juta,2.0,2.0,1.0,108 m²,100 m²
